0,1
1,1
2,3
3,14
4,5
5,8
6,12
7,7
8,18
9,20
10,146
11,415
12,697
13,898
14,1174
15,1254
16,1292
17,1123
18,1006
19,864
20,832
21,851
22,890
23,889
24,958
25,1034
26,1083
27,1191
28,1316
29,1406
30,1515
31,1526
32,1635
33,1701
34,1818
35,1771
36,1867
37,1883
38,1987
39,1901
40,1857
41,1904
42,1879
43,1826
44,1891
45,1808
46,1789
47,1766
48,1738
49,1680
50,1596
51,1702
52,1549
53,1568
54,1578
55,1539
56,1513
57,1473
58,1383
59,1389
60,1296
61,1265
62,1217
63,1179
64,1198
65,1200
66,1096
67,1147
68,1087
69,1105
70,1007
71,985
72,926
73,923
74,954
75,916
76,893
77,886
78,883
79,810
80,774
81,847
82,810
83,754
84,742
85,710
86,668
87,731
88,676
89,646
90,653
91,688
92,593
93,599
94,594
95,550
96,545
97,567
98,531
99,476
100,468
101,518
102,480
103,447
104,433
105,386
106,374
107,365
108,347
109,346
110,363
111,326
112,299
113,313
114,278
115,271
116,303
117,280
118,252
119,259
120,270
121,245
122,220
123,267
124,204
125,235
126,240
127,248
128,194
129,188
130,228
131,190
132,177
133,202
134,207
135,200
136,180
137,200
138,191
139,180
140,188
141,167
142,147
143,169
144,174
145,163
146,164
147,151
148,178
149,136
150,166
151,150
152,153
153,134
154,152
155,147
156,142
157,127
158,120
159,109
160,120
161,142
162,137
163,114
164,133
165,140
166,121
167,133
168,125
169,135
170,134
171,145
172,147
173,114
174,149
175,124
176,121
177,113
178,119
179,98
180,116
181,122
182,114
183,96
184,113
185,94
186,89
187,102
188,91
189,118
190,95
191,82
192,61
193,76
194,98
195,58
196,69
197,62
198,54
199,64
200,63
201,58
202,57
203,49
204,51
205,49
206,56
207,39
208,52
209,47
210,48
211,54
212,31
213,28
214,37
215,48
216,27
217,36
218,50
219,37
220,38
221,42
222,46
223,33
224,36
225,33
226,28
227,39
228,42
229,33
230,33
231,36
232,35
233,39
234,35
235,36
236,35
237,50
238,38
239,46
240,33
241,47
242,57
243,48
244,59
245,57
246,65
247,70
248,62
249,75
250,81
251,85
252,102
253,105
254,99
255,110
256,128
257,131
258,125
259,155
260,144
261,166
262,179
263,161
264,155
265,142
266,143
267,164
268,140
269,146
270,126
271,121
272,127
273,123
274,109
275,95
276,100
277,70
278,78
279,68
280,65
281,37
282,48
283,48
284,43
285,38
286,22
287,29
288,32
289,15
290,19
291,20
292,17
293,31
294,22
295,27
296,14
297,21
298,12
299,16
300,17
301,19
302,14
303,12
304,12
305,11
306,15
307,9
308,18
309,13
310,10
311,22
312,9
313,18
314,21
315,14
316,8
317,20
318,16
319,8
320,5
321,12
322,6
323,15
324,12
325,9
326,17
327,22
328,10
329,12
330,13
331,10
332,14
333,9
334,12
335,16
336,5
337,12
338,14
339,9
340,9
341,7
342,6
343,14
344,15
345,12
346,7
347,9
348,9
349,8
350,7
351,11
352,14
353,12
354,14
355,17
356,10
357,10
358,11
359,6
360,7
361,6
362,10
363,6
364,16
365,9
366,10
367,14
368,13
369,11
370,8
371,8
372,9
373,17
374,8
375,11
376,9
377,10
378,14
379,7
380,21
381,4
382,10
383,11
384,10
385,7
386,16
387,8
388,6
389,10
390,7
391,10
392,14
393,10
394,8
395,4
396,1
397,5
398,4
399,12
400,6
401,7
402,3
403,4
404,13
405,6
406,9
407,12
408,7
409,6
410,9
411,6
412,8
413,7
414,6
415,9
416,5
417,8
418,10
419,10
420,10
421,8
422,9
423,5
424,10
425,5
426,10
427,10
428,12
429,9
430,5
431,6
432,7
433,7
434,4
435,8
436,5
437,8
438,9
439,9
440,7
441,7
442,3
443,5
444,6
445,10
446,7
447,9
448,8
449,5
450,9
451,8
452,6
453,12
454,6
455,2
456,6
457,9
458,8
459,3
460,5
461,4
462,8
463,2
464,8
465,2
466,4
467,8
468,5
469,3
470,5
471,5
472,8
473,6
474,10
475,2
476,6
477,8
478,5
479,3
480,5
481,7
482,4
483,5
484,5
485,4
486,2
487,4
488,4
489,1
490,4
491,8
492,4
493,3
494,1
495,6
496,4
497,4
498,6
499,3
500,6
501,0
502,4
503,3
504,4
505,3
506,4
507,2
508,3
509,4
510,4
511,4
512,2
513,4
514,4
515,2
516,4
517,1
518,0
519,1
520,0
521,4
522,6
523,1
524,1
525,3
526,6
527,4
528,2
529,6
530,2
531,4
532,5
533,1
534,3
535,4
536,3
537,3
538,1
539,3
540,6
541,9
542,4
543,2
544,6
545,5
546,3
547,3
548,1
549,3
550,6
551,2
552,3
553,3
554,8
555,4
556,3
557,8
558,5
559,6
560,3
561,2
562,5
563,2
564,4
565,4
566,4
567,3
568,1
569,3
570,3
571,8
572,3
573,3
574,5
575,2
576,3
577,1
578,1
579,6
580,1
581,6
582,3
583,3
584,5
585,1
586,1
587,8
588,2
589,2
590,4
591,0
592,1
593,3
594,2
595,5
596,3
597,1
598,3
599,0
600,5
601,2
602,0
603,1
604,1
605,1
606,1
607,0
608,2
609,1
610,2
611,0
612,1
613,3
614,2
615,6
616,2
617,2
618,2
619,1
620,2
621,3
622,1
623,0
624,2
625,0
626,1
627,2
628,2
629,0
630,1
631,1
632,0
633,0
634,0
635,2
636,1
637,4
638,1
639,0
640,2
641,0
642,0
643,1
644,1
645,3
646,3
647,0
648,2
649,1
650,0
651,2
652,1
653,0
654,3
655,0
656,2
657,2
658,0
659,1
660,1
661,4
662,5
663,3
664,3
665,2
666,1
667,1
668,2
669,2
670,2
671,1
672,0
673,0
674,0
675,3
676,2
677,0
678,2
679,1
680,2
681,0
682,2
683,4
684,0
685,2
686,0
687,2
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,2
703,0
704,1
705,0
706,1
707,0
708,1
709,1
710,1
711,1
712,3
713,0
714,0
715,0
716,6
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,1
728,2
729,1
730,3
731,1
732,0
733,0
734,2
735,2
736,1
737,2
738,1
739,0
740,0
741,0
742,2
743,0
744,0
745,2
746,3
747,2
748,1
749,0
750,0
751,0
752,1
753,3
754,0
755,0
756,3
757,0
758,1
759,1
760,0
761,1
762,3
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,2
774,0
775,1
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,0
784,0
785,0
786,1
787,2
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,1
799,0
800,1
